position,book_draft,director,duration
817,Eva Kantůrková,Zdenek Sirový,70
818,Josef Kainar,Jiří Trnka,76
819,,Julio Medem,125
820,,Ettore Scola,105
821,Friedrich Dürrenmatt,Ladislao Vajda,100
822,Nagaru Tanigawa,Jasuhiro Takemoto,162
823,James Hilton,Herbert Ross,151
824,,Carl Theodor Dreyer,126
825,,Neill Blomkamp,112
826,,Quentin Tarantino,210
827,,James Wan,112
828,,Jean-Marc Vallée,117
829,Jodi Picoult,Nick Cassavetes,105
830,,Sydney Pollack,113
831,,David Lynch,120
832,,David Lynch,135
833,,Francis Veber,95
834,,William Hanna,89
835,,Krzysztof Kieślowski,93
836,,John Woo,111
837,,František Vláčil,100
838,,Satoši Kon,81
839,,Luchino Visconti,175
840,Shichirô Fukazawa,Šóhei Imamura,130
841,François Boyer,René Clément,86
842,Stan Lee,Jon Favreau,126
843,,Bryan Singer,121
844,Frank Herbert,Denis Villeneuve,155
845,Jane Austen,Joe Wright,127
846,,Gabriele Muccino,117
847,Nobuaki Minegishi,Chan-wook Park,120
848,Jay Cronley,Alexandre Arcady,114
849,,Alan Parker,130
850,,Tommy O'Haver,92
851,,Guy Ritchie,123
852,,Petr Schulhoff,94
853,,Ben Sharpsteen,64
854,,Karan Johar,165
855,C. S. Forester,John Huston,105
856,,John Woo,150
857,Kentaró Miura,Tošijuki Kubooka,77
858,,Jae-yong Kwak,133
859,Manfred Gregor,Bernhard Wicki,102
860,Richard Matheson,Jack Arnold,81
861,Marcel Pagnol,Yves Robert,105
862,Henryk Sienkiewicz,Jerzy Hoffman,316
863,Barry Hines,Ken Loach,110
864,,David Lean,86
865,Henry James,William Wyler,115
866,,Kendži Misumi,89
867,,Blake Edwards,117
868,Jacques Robert,Julien Duvivier,90
869,,Bryan Singer,104
870,,Randal Kleiser,106
871,Božena Němcová,Bořivoj Zeman,94
872,,Martin Brest,105
873,,David Lynch,147
874,William Diehl Jr.,Gregory Hoblit,129
875,,Thomas Vinterberg,117
876,,Paul Verhoeven,139
877,,Pedro Almodóvar,112
878,Howard Fast,Stanley Kubrick,101
879,,Claude Zidi,84
880,,Chia-Liang Liu,115
881,,Paul Brizzi,74
882,,Cristian Mungiu,113
883,,Alexandr Rogožkin,99
884,Alexandre Dumas st.,Bernard Borderie,100
885,Harry Brown,Howard Hawks,122
886,,Tod Browning,64
887,,Paľo Bielik,170
888,Stefan Wul,René Laloux,72
889,,Akira Kurosawa,110
890,,John Frankenheimer,176
891,Šúhei Fudžisawa,Jódži Jamada,132
892,,Kendži Misumi,81
893,,Buster Keaton,74
894,,Fritz Lang,105
895,Mark Millar,Matthew Vaughn,129
896,Hermína Franková,Václav Vorlíček,76
897,,Pete Docter,93
898,Philip K. Dick,Paul Verhoeven,113
899,,Don Hall,108
900,Jo Nesbø,Morten Tyldum,100
901,,Brenda Chapman,88
902,,Martin Frič,75
903,,Otakar Vávra,84
904,Leslie Waller,Sidney Lumet,125
905,,Carol Reed,104
906,,Julio Medem,112
907,Benito Pérez Galdós,Luis Buñuel,90
908,,Luis Buñuel,93
909,,Kaneto Šindó,103
910,,Jasudžiró Ozu,136
911,,Ermanno Olmi,170
912,Georges de La Fouchardière,Fritz Lang,103
913,Roald Dahl,Tim Burton,115
914,Stan Lee,Taika Waititi,130
915,Stephen Chbosky,Stephen Chbosky,103
916,Joachim Fest,Oliver Hirschbiegel,149
917,Carl Sagan,Robert Zemeckis,153
918,,Rich Moore,97
919,,Martin Scorsese,113
920,Patrick O'Brian,Peter Weir,138
921,,John Landis,111
922,Eric Jager,Ridley Scott,152
923,,Oliver Stone,150
924,,Joseph Kosinski,134
925,,Richard Linklater,80
926,Vladislav Vančura,František Vláčil,165
927,E. M. Nathanson,Robert Aldrich,145
928,,F. Gary Gray,147
929,Jonathan Trigell,John Crowley,100
930,,Alejandro Amenábar,125
931,,Giuseppe Tornatore,120
932,,John Woo,128
933,,Siân Heder,111
934,,Martin Hollý ml.,85
935,Jan Otčenášek,Jiří Weiss,94
936,,Wojciech Smarzowski,132
937,,Marcus H. Rosenmüller,120
938,,Werner Herzog,158
939,,Tom Stoppard,117
940,Puk Damsgård,Niels Arden Oplev,135
941,,Maciej Kawulski,133
942,Irving Stone,Vincente Minnelli,122
943,,Jean-Pierre Améris,95
944,Carson McCullers,Robert Ellis Miller,123
945,,Sam Mendes,143
946,,Martin McDonagh,107
947,,Oldřich Lipský,80
948,,Pete Docter,95
949,,Miloš Forman,118
950,,Miloš Forman,129
951,Michael Cunningham,Stephen Daldry,114
952,Wendelin Van Draanen,Rob Reiner,90
953,William Peter Blatty,William Friedkin,122
954,Zdeněk Jirotka,Jiří Věrčák,97
955,,Yimou Zhang,99
956,,Catherine Hardwicke,107
957,,Sergio Corbucci,109
958,Edgar Rice Burroughs,Kevin Lima,88
959,Pascal Bruckner,Roman Polański,138
960,,Mark Dindal,78
961,,Robert Wise,152
962,Mark Frost,Bill Paxton,120
963,,Andrew Lau,101
964,Alice Walker,Steven Spielberg,154
965,,Denis Villeneuve,130
966,Aoi Hiiragi,Jošifumi Kondó,111
967,,Neil Jordan,112
968,Tadeusz Dołęga-Mostowicz,Michał Gazda,140
969,,Nicolas Winding Refn,90
970,,Bob Fosse,123
971,Larry McMurtry,Peter Bogdanovich,118
972,,Brady Corbet,215
973,,George Seaton,96
974,,Rainer Werner Fassbinder,93
975,,Marisa Sistach,90
976,J.R.R. Tolkien,Peter Jackson,169
977,Ernest Cline,Steven Spielberg,140
978,,Jerry Zucker,127
979,Bernhard Schlink,Stephen Daldry,119
980,,Olivier Dahan,140
981,Emma Donoghue,Lenny Abrahamson,118
982,,Henry Alex Rubin,116
983,,Terry Gilliam,137
984,,Tony Kaye,97
985,,Martin Frič,93
986,,Christopher Nolan,69
987,,Sylvain Chomet,80
988,,Joseph L. Mankiewicz,110
989,,Stéphane Aubier,74
990,Kacuhiro Ótomo,Kacuhiro Ótomo,124
991,,Martin Frič,117
992,,Jan Komasa,135
993,,Woody Allen,85
994,Stephen King,Taylor Hackford,126
995,,Billy Wilder,105
996,,Randa Haines,114
997,Joan G. Robinson,Hiromasa Jonebajaši,103
998,Tom Wolfe,Philip Kaufman,193
999,,Jacques Feyder,114
1000,Fabian Nicieza,Tim Miller,108
